MAC--11--- before MACC-12---
MADEM10--- before MENT-12---
MADEM10--- before MMAP-11---
MADIT09--- before MMACS11---
MCH--11--- before MATPH12---
MCH--11--- before MCH--12---
MCMPR11W-- before MCMPR12W--
MCMPR12--- before MMACS12---
MCMPS10--- before MCMPS11---
MCMPS11--- before MENST12---,MENFP12---
MCTWR10--- before MCTWR11---
MCTWR11--- before MENFP12---,MENST12---
MEN--09E-- before MEN--09---
MEPSS11--- before MWH--12---,MCMCL12---,MPGEO12---,MINST12---,MLST-12---
MFMP-10--- before MFOM-11---
MFMP-10--- before MPREC11---,MPREC11H--
MFMP-10C-- before MPREC11---,MPREC11H--
MFMP-10H-- before MPREC11---,MPREC11H--
MFOM-11--- before MFOM-12---
MFR--09--- before MFR--10---
MFR--10--- before MFR--11---
MFR--11--- before MFR--12---
MLFSC11--- before MATPH12---
MLTST11--- before MENFP12---,MENST12---
MMA--09--- before MFMP-10---,MFMP-10H--
MMA--09--- before MWPM-10---
MMA--09H-- before MFMP-10---,MFMP-10H--
MMACS11--- before MMACS12---
MMACS12--- before ACSC-2A---
MMAP-11--- before MENT-12---
MNMD-10--- before MNMD-11---
MNMD-11--- before MENFP12---,MENST12---
MPH--11--- before MPH--12---
MPREC11--- before MPREC12---,MPREC12H--
MPREC11H-- before MPREC12---,MPREC12H--
MPREC12--- before ACAL-12---,MCALC12---
MPREC12H-- before ACAL-12---,MCALC12---
MSC--09D-- before MSC--10---
MSC--10--- before MCH--11---,MEVSC11---,MLFSC11---,MPH--11---
MSC--10C-- before MCH--11---,MESC-11---,MLFSC11---,MPH--11---
MSP--10--- before MSP--11---
MSP--11--- before MSP--12---
MTAUT11--- before MTAUT12---
MTAUT12--- before MTEAD12---
MWBDV10--- before MCMPR11---,MDCOM11---,MMACS11---
MWBDV10--- before MMACS11---
MWBDV10IT- before MCMPR11---,MCMPR11W--
MWPM-10--- before MWPM-11---
MWPM-11--- before MFOM-11---
MWPM-11--- before MFOM-11---
XLDCE09NM- before MMA--09---,MWPM-10---
YESFL0AX-- before MCMPS10---,MEFWR10---
